pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr3_id,ra,dec,sy_dist,sy_snum,sy_pnum,cb_flag,st_teff,st_mass,st_rad,st_lum,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,discoverymethod,disc_year,disc_facility,pl_controv_flag
"Kepler-257 c","Kepler-257","c",,,"TIC 273132699","Gaia DR3 2080246282881778048",297.3159994,46.0232642,780.25600000,1,3,0,5180.00,0.916000,1.037000,-0.37756,5.41000000,25.20000000,"M-R relationship",0.875000,881.00,88.6000,6.58148400000,0.0660000000,0.000000,89.53000,"Transit",2014,"Kepler",0
"Kepler-257 d","Kepler-257","d",,,"TIC 273132699","Gaia DR3 2080246282881778048",297.3159994,46.0232642,780.25600000,1,3,0,5180.00,0.916000,1.037000,-0.37756,4.95000000,21.70000000,"M-R relationship",0.983000,567.00,15.2000,24.66455100000,0.1600000000,0.000000,88.98000,"Transit",2014,"Kepler",0
"Kepler-258 b","Kepler-258","b",,,"TIC 270854411","Gaia DR3 2128150217796747520",294.0684116,46.5791357,575.98800000,1,2,0,4942.00,0.820000,0.915000,-0.57541,4.06000000,15.50000000,"M-R relationship",1.270000,642.00,27.7910,13.19722000000,0.1030000000,0.000000,88.71000,"Transit",2014,"Kepler",0
"Kepler-258 c","Kepler-258","c",,,"TIC 270854411","Gaia DR3 2128150217796747520",294.0684116,46.5791357,575.98800000,1,2,0,4942.00,0.820000,0.915000,-0.57541,3.61000000,12.70000000,"M-R relationship",1.480000,470.00,7.9850,33.65307900000,0.1930000000,0.000000,89.42000,"Transit",2014,"Kepler",0
"Kepler-259 b","Kepler-259","b",,,"TIC 158664318","Gaia DR3 2130405041264941184",288.2119707,46.6150461,1002.14000000,1,2,0,5938.00,0.867000,0.898000,-0.15271,2.80000000,8.25000000,"M-R relationship",2.070000,879.00,113.4510,8.11531700000,0.0790000000,0.000000,84.30000,"Transit",2014,"Kepler",0
"Kepler-259 c","Kepler-259","c",,,"TIC 158664318","Gaia DR3 2130405041264941184",288.2119707,46.6150461,1002.14000000,1,2,0,5938.00,0.867000,0.898000,-0.15271,2.70000000,7.75000000,"M-R relationship",2.160000,530.00,15.0540,36.92493100000,0.2170000000,0.000000,88.60000,"Transit",2014,"Kepler",0
"Kepler-26 b","Kepler-26","b",,,"TIC 164833065","Gaia DR3 2107317358665730688",284.9410627,46.5664505,335.30700000,1,4,0,3914.00,0.544000,0.512000,-1.06048,2.78000000,5.12000000,"Mass",1.260000,431.00,7.6000,12.28000000000,0.0855100000,0.021000,89.93000,"Transit",2011,"Kepler",0
"Kepler-26 c","Kepler-26","c",,,"TIC 164833065","Gaia DR3 2107317358665730688",284.9410627,46.5664505,335.30700000,1,4,0,3914.00,0.544000,0.512000,-1.06048,2.72000000,6.20000000,"Mass",1.610000,385.00,4.8200,17.25590000000,0.1072500000,0.013000,89.09000,"Transit",2011,"Kepler",0
"Kepler-26 d","Kepler-26","d",,,"TIC 164833065","Gaia DR3 2107317358665730688",284.9410627,46.5664505,335.30700000,1,4,0,4486.00,0.593000,0.571000,-1.06048,1.07000000,1.24000000,"M-R relationship",5.560000,652.00,31.7900,3.54391900000,0.0390000000,0.000000,89.91000,"Transit",2014,"Kepler",0
"Kepler-26 e","Kepler-26","e",,,"TIC 164833065","Gaia DR3 2107317358665730688",284.9410627,46.5664505,335.30700000,1,4,0,4486.00,0.593000,0.571000,-1.06048,2.41000000,6.39000000,"M-R relationship",2.510000,276.00,1.7530,46.82791500000,0.2200000000,0.000000,89.87000,"Transit",2014,"Kepler",0
"Kepler-260 b","Kepler-260","b",,,"TIC 137348863","Gaia DR3 2051907813786770688",291.9259658,38.0140525,627.36500000,1,2,0,5250.00,1.013000,0.862000,-0.09198,2.01000000,4.70000000,"M-R relationship",3.180000,782.00,132.1340,8.18739900000,0.0750000000,0.000000,88.89000,"Transit",2014,"Kepler",0
"Kepler-260 c","Kepler-260","c",,,"TIC 137348863","Gaia DR3 2051907813786770688",291.9259658,38.0140525,627.36500000,1,2,0,5250.00,1.013000,0.862000,-0.09198,1.74000000,3.68000000,"M-R relationship",3.840000,372.00,6.7750,76.05017800000,0.3320000000,0.000000,89.99000,"Transit",2014,"Kepler",0
"Kepler-261 b","Kepler-261","b",,,"TIC 137148674","Gaia DR3 2052528625536778624",291.3647333,37.6092390,317.49900000,1,2,0,5098.00,0.834000,0.794000,-0.47100,2.18000000,5.39000000,"M-R relationship",2.860000,672.00,45.7790,10.38122700000,0.0880000000,0.000000,89.36000,"Transit",2014,"Kepler",0
"Kepler-261 c","Kepler-261","c",,,"TIC 137148674","Gaia DR3 2052528625536778624",291.3647333,37.6092390,317.49900000,1,2,0,5098.00,0.834000,0.794000,-0.47100,2.00000000,4.66000000,"M-R relationship",3.200000,505.00,14.5120,24.57085800000,0.1560000000,0.000000,87.52000,"Transit",2014,"Kepler",0
"Kepler-262 b","Kepler-262","b",,,"TIC 122673489","Gaia DR3 2051030231707057024",290.7287168,37.2526575,613.12900000,1,2,0,5841.00,0.816000,0.881000,-0.13988,1.36000000,2.42000000,"M-R relationship",5.290000,734.00,50.1690,13.06085500000,0.1080000000,0.000000,88.16000,"Transit",2014,"Kepler",0
"Kepler-262 c","Kepler-262","c",,,"TIC 122673489","Gaia DR3 2051030231707057024",290.7287168,37.2526575,613.12900000,1,2,0,5841.00,0.816000,0.881000,-0.13988,1.64000000,3.33000000,"M-R relationship",4.150000,618.00,25.2600,21.85372200000,0.1520000000,0.000000,88.95000,"Transit",2014,"Kepler",0
"Kepler-263 b","Kepler-263","b",,,"TIC 137637249","Gaia DR3 2051832634677771008",292.4698022,37.5677941,754.74700000,1,2,0,5265.00,0.793000,0.785000,-0.45614,2.67000000,7.61000000,"M-R relationship",2.200000,548.00,24.3080,16.56808700000,0.1200000000,0.000000,89.69000,"Transit",2014,"Kepler",0
"Kepler-263 c","Kepler-263","c",,,"TIC 137637249","Gaia DR3 2051832634677771008",292.4698022,37.5677941,754.74700000,1,2,0,5265.00,0.793000,0.785000,-0.45614,2.47000000,6.66000000,"M-R relationship",2.430000,386.00,5.9940,47.33277300000,0.2420000000,0.000000,89.80000,"Transit",2014,"Kepler",0
"Kepler-264 b","Kepler-264","b",,,"TIC 137347078","Gaia DR3 2051738798233021824",292.0446280,37.3761861,942.17300000,1,2,0,6158.00,1.426000,1.550000,0.68915,3.33000000,11.10000000,"M-R relationship",1.650000,772.00,79.4780,40.80623100000,0.2490000000,0.000000,89.96000,"Transit",2014,"Kepler",0
"Kepler-264 c","Kepler-264","c",,,"TIC 137347078","Gaia DR3 2051738798233021824",292.0446280,37.3761861,942.17300000,1,2,0,6158.00,1.426000,1.550000,0.68915,2.83000000,8.40000000,"M-R relationship",2.040000,511.00,15.3470,140.10126100000,0.5660000000,0.000000,89.98000,"Transit",2014,"Kepler",0
"Kepler-265 b","Kepler-265","b",,,"TIC 122445076","Gaia DR3 2101776885215761152",290.5104788,41.2447430,1280.25000000,1,4,0,5835.00,0.970000,1.103000,0.00548,1.86000000,4.12000000,"M-R relationship",3.520000,1022.00,220.3280,6.84626200000,0.0690000000,0.000000,89.71000,"Transit",2014,"Kepler",0
"Kepler-265 c","Kepler-265","c",,,"TIC 122445076","Gaia DR3 2101776885215761152",290.5104788,41.2447430,1280.25000000,1,4,0,5835.00,0.970000,1.103000,0.00548,2.63000000,7.41000000,"M-R relationship",2.240000,755.00,65.3590,17.02893700000,0.1270000000,0.000000,89.59000,"Transit",2014,"Kepler",0
"Kepler-265 d","Kepler-265","d",,,"TIC 122445076","Gaia DR3 2101776885215761152",290.5104788,41.2447430,1280.25000000,1,4,0,5835.00,0.970000,1.103000,0.00548,2.49000000,6.76000000,"M-R relationship",2.410000,554.00,18.9410,43.13061700000,0.2360000000,0.000000,89.52000,"Transit",2014,"Kepler",0
"Kepler-265 e","Kepler-265","e",,,"TIC 122445076","Gaia DR3 2101776885215761152",290.5104788,41.2447430,1280.25000000,1,4,0,5835.00,0.970000,1.103000,0.00548,2.59000000,7.22000000,"M-R relationship",2.280000,476.00,10.3540,67.83102400000,0.3190000000,0.000000,89.98000,"Transit",2014,"Kepler",0
"Kepler-266 b","Kepler-266","b",,,"TIC 271046092","Gaia DR3 2078328287926130304",294.4843821,44.1669355,1370.79000000,1,2,0,5885.00,0.947000,1.028000,0.01163,2.48000000,6.71000000,"M-R relationship",2.420000,1066.00,230.4030,6.61833000000,0.0710000000,0.000000,89.82000,"Transit",2014,"Kepler",0
"Kepler-266 c","Kepler-266","c",,,"TIC 271046092","Gaia DR3 2078328287926130304",294.4843821,44.1669355,1370.79000000,1,2,0,5885.00,0.947000,1.028000,0.01163,3.89000000,14.40000000,"M-R relationship",1.340000,421.00,5.5920,107.72360100000,0.4570000000,0.000000,90.00000,"Transit",2014,"Kepler",0
"Kepler-267 b","Kepler-267","b",,,"TIC 269357457","Gaia DR3 2085626983551485440",299.8305655,47.1575741,264.99300000,1,3,0,4258.00,0.541571,0.555000,-1.22915,1.98000000,37.90000000,"Mass",26.800000,615.00,45.8430,3.35372800000,0.0370000000,0.000000,89.84000,"Transit",2014,"Kepler",0
"Kepler-267 c","Kepler-267","c",,,"TIC 269357457","Gaia DR3 2085626983551485440",299.8305655,47.1575741,264.99300000,1,3,0,4258.00,0.541571,0.555000,-1.22915,2.13000000,5.18000000,"M-R relationship",2.950000,484.00,17.5830,6.87745000000,0.0600000000,0.000000,88.26000,"Transit",2014,"Kepler",0
"Kepler-267 d","Kepler-267","d",,,"TIC 269357457","Gaia DR3 2085626983551485440",299.8305655,47.1575741,264.99300000,1,3,0,4258.00,0.541571,0.555000,-1.22915,2.27000000,5.77000000,"M-R relationship",2.710000,301.00,2.6470,28.46451500000,0.1540000000,0.000000,89.98000,"Transit",2014,"Kepler",0
"Kepler-268 b","Kepler-268","b",,,"TIC 137348987","Gaia DR3 2051908157384215296",291.9761559,38.0550327,851.87000000,1,2,0,6081.00,1.109000,1.274000,0.31808,2.55000000,7.04000000,"M-R relationship",2.330000,695.00,64.9330,25.93413800000,0.1800000000,0.000000,89.98000,"Transit",2014,"Kepler",0
"Kepler-268 c","Kepler-268","c",,,"TIC 137348987","Gaia DR3 2051908157384215296",291.9761559,38.0550327,851.87000000,1,2,0,6081.00,1.109000,1.274000,0.31808,3.38000000,11.40000000,"M-R relationship",1.620000,471.00,13.6620,83.44639300000,0.3910000000,0.000000,89.97000,"Transit",2014,"Kepler",0
"Kepler-269 b","Kepler-269","b",,,"TIC 122297877","Gaia DR3 2101854881822529024",290.2151459,41.7759810,2257.32000000,1,2,0,5847.00,0.920000,0.959000,0.36836,2.47000000,6.66000000,"M-R relationship",2.430000,1007.00,604.9000,5.32671800000,0.0610000000,0.000000,89.80000,"Transit",2014,"Kepler",0
"Kepler-269 c","Kepler-269","c",,,"TIC 122297877","Gaia DR3 2101854881822529024",290.2151459,41.7759810,2257.32000000,1,2,0,5847.00,0.920000,0.959000,0.36836,1.69000000,3.50000000,"M-R relationship",3.980000,875.00,342.6000,8.12789900000,0.0810000000,0.000000,88.71000,"Transit",2014,"Kepler",0
"Kepler-27 b","Kepler-27","b",,,"TIC 137556626","Gaia DR3 2053586321364864640",292.2367608,41.0858710,1044.36000000,1,3,0,5400.00,0.650000,0.590000,-0.32941,4.00000000,2895.31000000,"Mass",,610.00,28.6810,15.33480000000,0.1180000000,0.000000,87.95000,"Transit",2011,"Kepler",0
"Kepler-27 c","Kepler-27","c",,,"TIC 137556626","Gaia DR3 2053586321364864640",292.2367608,41.0858710,1044.36000000,1,3,0,5400.00,0.650000,0.590000,-0.32941,4.90000000,4385.87000000,"Mass",,481.00,11.0670,31.33090000000,0.1910000000,0.000000,88.62000,"Transit",2011,"Kepler",0
"Kepler-27 d","Kepler-27","d",,,"TIC 137556626","Gaia DR3 2053586321364864640",292.2367608,41.0858710,1044.36000000,1,3,0,5251.00,0.926000,0.817000,-0.32941,2.70619460,7.78000000,"M-R relationship",2.160000,810.00,88.2000,6.54628992100,0.0657800000,0.000000,87.46000,"Transit",2021,"Kepler",0
"Kepler-270 b","Kepler-270","b",,,"TIC 123417308","Gaia DR3 2105415306628609024",282.2001207,44.4222795,948.78100000,1,2,0,6067.00,1.170000,1.461000,0.31211,2.01000000,4.70000000,"M-R relationship",3.180000,984.00,178.3620,11.47609400000,0.1070000000,0.000000,86.33000,"Transit",2014,"Kepler",0
"Kepler-270 c","Kepler-270","c",,,"TIC 123417308","Gaia DR3 2105415306628609024",282.2001207,44.4222795,948.78100000,1,2,0,6067.00,1.170000,1.461000,0.31211,1.77000000,3.78000000,"M-R relationship",3.750000,756.00,62.2410,25.26288700000,0.1800000000,0.000000,88.00000,"Transit",2014,"Kepler",0
"Kepler-271 b","Kepler-271","b",,,"TIC 164414655","Gaia DR3 2105343799713595904",283.0029316,44.2841080,404.54200000,1,3,0,5555.00,0.900000,0.870000,-0.25319,1.23000000,2.04000000,"M-R relationship",6.020000,759.00,75.9570,10.43547805000,0.0878400000,0.000000,89.57000,"Transit",2014,"Kepler",0
"Kepler-271 c","Kepler-271","c",,,"TIC 164414655","Gaia DR3 2105343799713595904",283.0029316,44.2841080,404.54200000,1,3,0,5555.00,0.900000,0.870000,-0.25319,0.95000000,0.80900000,"M-R relationship",5.180000,850.00,119.6310,7.41086267000,0.0699300000,0.000000,89.79000,"Transit",2014,"Kepler",0
"Kepler-271 d","Kepler-271","d",,,"TIC 164414655","Gaia DR3 2105343799713595904",283.0029316,44.2841080,404.54200000,1,3,0,5555.00,0.900000,0.870000,-0.25319,0.66000000,0.21900000,"M-R relationship",4.190000,954.00,189.3430,5.24972541000,0.0555400000,0.000000,89.01000,"Transit",2016,"Kepler",0
"Kepler-272 b","Kepler-272","b",,,"TIC 268704766","Gaia DR3 2085701097508446464",299.1275257,47.5938319,889.60800000,1,3,0,5297.00,0.910000,0.929000,0.06634,1.43000000,78.00000000,"Mass",147.000000,1200.00,801.7410,2.97135300000,0.0380000000,0.000000,87.49000,"Transit",2014,"Kepler",0
