source_id,designation,ref_epoch,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,duplicated_source,astrometric_params_solved,visibility_periods_used,phot_variable_flag,non_single_star,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
2128129876831370880,Gaia DR3 2128129876831370880,2016.0,294.6481707410716,46.392316050725334,79.31891806554279,11.815407487249592,0.6510219525283786,0.026501497,24.565477,9.228204,-0.20114692724679228,0.030346472,-9.226010879247315,0.03294654,,,15.820939,16.215408,15.254943,0.96046543,1.0560348,false,31,27,NOT_AVAILABLE,0,5695.771,1535.5848,1385.6324,1679.366
2128141799661062400,Gaia DR3 2128141799661062400,2016.0,294.5335986733811,46.618235249252095,79.4878682543262,11.988404781670953,0.9570687502750858,0.029348545,32.61043,10.770137,6.222375886447789,0.03252327,-8.790783787009012,0.035602845,,,15.889105,16.336733,15.2801075,1.0566254,1.0281754,false,31,27,NOT_AVAILABLE,0,5136.4077,900.0523,886.4256,913.7209
2128141834020807680,Gaia DR3 2128141834020807680,2016.0,294.5285960950135,46.6408706955405,79.50689340546779,12.001740534400634,1.3204575980048092,0.05183823,25.47266,21.870089,-4.357235541697783,0.057469014,-21.43164273600139,0.061702415,,,16.909489,17.814907,16.00385,1.8110561,1.0272691,false,31,27,NOT_AVAILABLE,0,4293.8496,687.5497,680.098,692.8263
2128145338713986688,Gaia DR3 2128145338713986688,2016.0,294.34160566957405,46.498762374789884,79.31781249156778,12.051946070321275,0.8114966252277857,0.033155773,24.475273,4.1552563,-4.125978619392409,0.035831407,-0.492398302915521,0.04401276,,,16.273508,16.769867,15.625853,1.1440144,0.9820107,false,31,27,NOT_AVAILABLE,0,4822.1177,1098.9355,1075.3188,1128.2687
2128150217796747520,Gaia DR3 2128150217796747520,2016.0,294.0684092614628,46.579131511299984,79.30452986591753,12.255918925454669,1.7395976027601272,0.018928122,91.90545,31.93468,-11.4093317802594,0.02154118,-29.82701714097513,0.02119416,,,15.188849,15.76517,14.472381,1.2927895,1.044891,false,31,28,NOT_AVAILABLE,0,4674.282,524.6658,507.8904,547.3352
2128151660905893504,Gaia DR3 2128151660905893504,2016.0,294.27723246063255,46.675234592922074,79.45839200307954,12.171139528755562,1.946483450174459,0.0107743,180.65985,9.613634,-8.950033005974918,0.0123916445,-3.5098253143784532,0.01292228,-25.763474,1.9113722,12.861884,13.178774,12.380672,0.7981014,0.9396647,false,31,28,NOT_AVAILABLE,0,5675.6543,508.1364,504.7755,511.5416
2128152897857003264,Gaia DR3 2128152897857003264,2016.0,294.1688144693015,46.71461644790807,79.46008386716314,12.255269825298981,0.593658065265094,0.01976293,30.03897,2.870343,1.3211984708559945,0.02288078,2.548196087295629,0.021534234,,,15.182431,15.560222,14.637602,0.9226198,0.9926813,false,31,28,NOT_AVAILABLE,0,5747.9204,1521.5326,1442.9268,1804.9146
2128155371757730816,Gaia DR3 2128155371757730816,2016.0,294.4969544828156,46.689672171184476,79.54128902829694,12.043229901565061,0.5247740868778668,0.02604244,20.150726,8.612266,-2.2800029890449203,0.02954727,-8.304980306258527,0.033085577,,,15.722247,16.131935,15.140063,0.99187183,0.99054,false,31,26,NOT_AVAILABLE,0,5253.2837,1423.8081,1399.2996,1450.5251
2128155818434335616,Gaia DR3 2128155818434335616,2016.0,294.4556556853645,46.74353358099793,79.57726999420869,12.092876025003426,0.46524249113559024,0.019768395,23.534662,13.091392,-4.842838924802944,0.023305012,-12.162706679310046,0.026133275,,,15.260904,15.613458,14.74391,0.86954784,0.9805855,false,31,29,NOT_AVAILABLE,0,5812.0225,1832.8326,1728.9597,2051.0193
2128157158464165504,Gaia DR3 2128157158464165504,2016.0,294.46273674978397,46.821400477698184,79.6505248155854,12.123805147442491,1.2420223040191398,0.014005112,88.683495,12.446885,2.7094775179156025,0.017497344,-12.148402712450315,0.016052984,-21.187735,2.976872,14.275657,14.613107,13.772689,0.84041786,1.0124744,false,31,25,NOT_AVAILABLE,0,5567.2197,781.7456,773.3082,792.302
2128167225867000576,Gaia DR3 2128167225867000576,2016.0,293.6688781245759,46.37923126259904,78.99549950110777,12.412479039583706,0.5040987092433973,0.16373394,3.0787673,6.598225,2.547954571334463,0.1979084,-6.086419704240244,0.21797544,,,14.823856,15.1036215,14.300121,0.8035002,9.969586,false,31,28,NOT_AVAILABLE,0,6241.213,921.3859,906.4265,936.7855
2128168256659148032,Gaia DR3 2128168256659148032,2016.0,293.619301211985,46.413403716227045,79.01122920180448,12.458314242829852,1.2099098512053779,0.015421263,78.457245,17.184225,5.6882044874440005,0.017951343,16.21548361594988,0.021016374,-53.11751,3.7540975,14.611072,14.991252,14.069086,0.9221659,0.9370785,false,31,28,NOT_AVAILABLE,0,5479.404,805.9222,792.7318,821.9655
2128190453050802048,Gaia DR3 2128190453050802048,2016.0,293.5777961132755,46.73629536900725,79.29454917769664,12.627396010056886,0.08802614917313528,0.20834926,0.42249322,2.5945382,-0.22417448379945737,0.25590342,-2.584835506484385,0.24868271,-38.993813,7.4080343,14.797506,14.992586,13.960763,1.0318232,18.576658,false,31,29,NOT_AVAILABLE,0,,,,
2128198836827103616,Gaia DR3 2128198836827103616,2016.0,293.9815370787618,46.68772674215497,79.37646613173617,12.357955951303236,0.8429818800935343,0.020533297,41.054386,9.457341,-3.4644065925189307,0.023280349,-8.799953445833982,0.023242911,,,15.137414,15.501533,14.611036,0.89049625,1.0305097,false,31,28,VARIABLE,0,5855.2344,1057.6143,1031.6053,1123.9406
2128198974266072192,Gaia DR3 2128198974266072192,2016.0,293.9886742189147,46.71799799653662,79.4064159984447,12.367144348706445,0.7496856346401931,0.019981219,37.519516,12.1539955,-4.351286312760056,0.023338618,-11.348387767678762,0.02258423,,,15.096974,15.448115,14.583473,0.86464214,1.0026683,false,31,27,NOT_AVAILABLE,0,5852.477,1252.002,1224.734,1278.0444
