"exoID","IAU-name (exoplanet)","etymology","planet designator","theme","iAU-name (host star)","wgsnCat","star name etymology","constellation","country"
"57","Finlay","Carlos Juan Finlay (1833–1915) was an epidemiologist recognized as a pioneer in the research of yellow fever, determining that it was transmitted through mosquitoes.","BD-17 63 b","Names associated with influential 19th century Cuban thinkers.","Felixvarela","10002","Felix Varela (1788–1853) was the first to teach science in Cuba at the San Carlos and San Ambrosio Seminary. He opened the way to education for all, and began the experimental teaching of physics in Cuba.","Cetus","Cuba"
"58","Onasilos","Onasilos is the oldest historically recorded doctor in Cyprus, inscribed on the fifth century BC Idalion Tablet. Also known as the Onasilou Plate, it is considered as the oldest legal contract found in the world.","HD 168746 b","Names associated with doctors from the ancient history of Cyprus (Alasia/Alashiya).","Alasia","10103","Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BC.","Serpens","Cyprus"
"59","Makropulos","Makropulos is the name from Karel Čapek's play Věc Makropulos (The Makropulos Affair), dealing with problems of immortality and consequences of an artificial prolongation of life.","XO-5 b","Names from the play Věc Makropulos (The Makropulos Affair) and the science fiction novel Továrna na absolutno (The Absolute at Large) by Czech author Karel Čapek (1890–1938).","Absolutno","10038","Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel Čapek.","Lynx","Czech Republic"
"60","Surt","Surt is the ruler of Muspelheim and the fire giants there in Norse mythology. At Ragnarok, the end of the world, he will lead the attack on our world and destroy it in flames.","HAT-P-29 b","Names of characters and places associated with the mythological fire realm of Muspelheim from Norse mythology.","Muspelheim","10011","Muspelheim is the Norse mythological realm of fire. The first gods used the sparks of Muspelheim to form the sun, moon, planets, and stars.","Perseus","Denmark"
"61","Boinayel","Boinayel the god of rain that fertilizes the soil is engraved on the stalagmite at a lower position than Márohu in the El Puente cave.","WASP-6 b","Names of deities from the mythology of the Taíno indigenous people of the Caribbean.","Márohu","10126","Márohu the god of drought is the protector of the Sun and is engraved at a higher position on the stalagmite than Boinayel in the El Puente cave, where the Sun makes its way down every 21 December.","Aquarius","Dominican Republic"
"62","Eyeke","Eyeke means near in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador. This word is suggested for the exoplanet owing to the proximity of the planet to the host star.","HD 6434 b","Terms symbolic of the Sun, stars, and planets, and their conditions in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador","Nenque","10004","Nenque means the Sun in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador","Phoenix","Ecuador"
"63","Cayahuanca","Cayahuanca means The rock looking at the stars in the native Nahuat language.","HD 52265 b","Celestial terms and geographic features in El Salvador from the indigenous Nahuat language.","Citalá","2620","Citalá means River of stars in the native Nahuat language.","Monoceros","El Salvador"
"64","Hämarik","Hämarik is Estonian for the time when the Sun goes down in the evening (dusk).","XO-4 b","Celestial terms in the Estonian language.","Koit","10037","Koit is Estonian for the time when the Sun rises in the morning (dawn).","Lynx","Estonia"
"65","Abol","Abol is the first of three rounds of coffee in the Ethiopian traditional coffee ceremony.","HD 16175 b","Words associated with coffee and the Ethiopian traditional coffee ceremony.","Buna","10008","Buna is the commonly used word for coffee in Ethiopia.","Andromeda","Ethiopia"
"66","Hiisi","Hiisi represents sacred localities and later evil spirits from Finnic mythology.","HAT-P-38 b","Terms associated with mystical, sacred, or evil places in ancient Finnish/Finnic mythology.","Horna","10012","Horna is hell or the underworld from Finnic mythology.","Triangulum","Finland"
"67","Bélisama","Bélisama was the goddess of fire, notably of the hearth and of metallurgy and glasswork, in Gaulish mythology.","HD 8574 b","Names of Gaulish deities associated with the Sun, light, and fire (French spellings).","Bélénos","10006","Bélénos was the god of light, of the Sun, and of health in Gaulish mythology.","Pisces","France"
"68","Mintome","Mintome, in the Fang tongue, is a mythical land where a brotherhood of brave men live.","HD 208487 b","Terms and places associated with beauty and unity vernacular languages of Gabon.","Itonda","10116","Itonda, in the Myene tongue, corresponds to all that is beautiful.","Grus","Gabon"
"69","Neri","The Neri river in Ethiopia runs through parts of the Mago National park.","HD 32518 b","Names associated with geographic features of Mago National Park in Ethiopia, noted range of the Nubian giraffe (Giraffa camelopardalis camelopardalis).","Mago","1700","Mago is a National Park in Ethiopia noted for its giraffes. The star also happens to be in the constellation of Camelopardis (the giraffe).","Camelopardalis","Germany"
"70","Toge","Toge means earring in the Ewe language.","HD 181720 b","Terms associated with artefacts and jewelry containing gold in the Ewe language spoken in Ghana (formerly known as ""Gold Coast"" prior to independence).","Sika","10107","Sika means gold in the Ewe language and gold is one of Ghana's principal exports.","Sagittarius","Ghana"
"71","Iolaus","Iolaus was the nephew of Heracles from Greek mythology, moving around lake Lerna in helping Heracles to exterminate the Lernaean Hydra. Similarly this exoplanet in the constellation of Hydra moves around its parent star.","HAT-P-42 b","Names of characters and places associated with the story of the Lernaean Hydra of Greek mythology.","Lerna","10045","Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.","Hydra","Greece"
"72","Koyopa'","Koyopa' is the word associated with lightning in K'iche' (Quiché) Mayan language.","WASP-22 b","Names of deities and terms associated with storms from the Indigenous K'iche' (Quiché) Mayan tradition.","Tojil","10018","Tojil is the name of one of the Mayan deities related to rain, storms, and fire.","Eridanus","Guatemala"
"73","Indépendance","Indépendance is named after the Haitian Declaration of Independence on 1 January 1804, when Haiti became the first independent black republic.","HD 1502 b","Terms associated with the Citadelle Laferrière UNESCO World Heritage Site and early history of the Republic of Haiti.","Citadelle","10001","The Citadelle is a large mountaintop fortress in Nord, Haiti built after Haiti's independence, and was designated a UNESCO World Heritage site along with the nearby Sans-Souci Palace.","Pisces","Haiti"
"74","Ixbalanqué","Ixbalanqué was one of the twin gods who became the Moon in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.","HD 98219 b","Names of characters and places associated with the legend of the hero twins Hunahpú and Ixbalanque from K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.","Hunahpú","10058","Hunahpú was one of the twin gods who became the Sun in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.","Crater","Honduras"
"75","Victoriapeak","Victoria Peak overlooks the bustling Victoria Harbour and is regarded as an ambassadorial gateway for foreign visitors wishing to experience Hong Kong first hand.","HD 212771 b","Names of iconic peaks of Hong Kong.","Lionrock","10118","Lion Rock is a lion-shaped peak overlooking Hong Kong and is a cultural symbol with deep respect from the local community.","Aquarius","Hong Kong, China"
"76","Magor","Magor was a legendary ancestor of the Magyar people and the Hungarian nation, and brother of Hunor.","HAT-P-2 b","Legendary characters and places from medieval Hungarian chronicles, including Gesta Hunnorum et Hungarorum written by Simon of Kéza in the 1280s.","Hunor","10095","Hunor was a legendary ancestor of the Huns and the Hungarian nation, and brother of Magor.","Hercules","Hungary"
"77","Fold","Fold is an old Icelandic word meaning earth or soil.","HD 109246 b","Terms for natural elements and forces in Icelandic language, symbolic of the star and its planets.","Funi","10068","Funi is an old Icelandic word meaning fire or blaze.","Draco","Iceland"
"78","Santamasa","Santamasa [/səntəməs/] in Sanskrit means clouded, which alludes to the exoplanet’s atmosphere.","HD 86081 b","Terms from Sanskrit language symbolic of the physical conditions of the star and its planets.","Bibhā","10049","Bibhā [/bɪbɦa/] is the Bengali pronunciation of the Sanskrit word Vibha, which means a bright beam of light.","Sextans","India"
"79","Noifasui","Noifasui means revolve around in Nias language, derived from the word ifasui, meaning to revolve around, and no, indicating that the action occurred in the past and continued to the present time.","HD 117618 b","Terms and phrases related to stars and planets and their physical conditions in the Nias language spoken on Nias Island and Batu islands in the north-western part of Indonesia.","Dofida","10073","Dofida means our star in Nias language.","Centaurus","Indonesia"
"80","Kavian","Kaveh carries a banner called Derafsh Kaviani (Derafsh: banner, Kaviani: relating to Kaveh).","HD 175541 b","Names of characters, symbols, and places associated with the legend of Kaveh the Blacksmith from the epic Shahnameh composed by Persian poet Ferdowsi between 977 and 1010 CE.","Kaveh","10104","Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.","Serpens","Iran"
"81","Babylonia","Babylonia was a key kingdom in ancient Mesopotamia from the 18th to 6th centuries BC whose name-giving capital city was built on the Euphrates river.","HD 231701 b","Names of ancient cities and kingdoms associated with Bronze Age Mesopotomia in Iraq.","Uruk","10108","Uruk was an ancient city of the Sumer and Babylonian civilizations in Mesopotamia situated along an ancient channel of the Euphrates river in modern-day Iraq.","Sagitta","Iraq"
"82","Bran","Tuiren's son Bran was a hound and cousin of the hunterwarrior Fionn mac Cumhaill of Irish legend.","HAT-P-36 b","Mythological dogs and associated characters from the story The Birth of Bran, an Irish legend associated with the tales of Fionn mac Cumhaill, as retold in Irish Fairy Tales by author James Stephens (1920).","Tuiren","10069","Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.","CanesVenatici","Ireland"
