"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Naga","5,030","HR 5020","64962","gam Hya","Naga","Hya","Sanskrit नाग, nāgá, means “large snake” or ""serpent"". Languages like Iban, Indonesian, Italian, Javanese, Malay, Marano, Portuguese, Tagalog and Yakan borrow the term; Japanese ""naga"" means ""long""; German ""Nagel"" (nail) and English ""naked"" are derived from homophonous Sanskrit ""nāga"" for gold/ iron/ metal.","Sanskrit","see ASE","2026/02/22"
"Yuyu","3,463","HR 3475","43103","iot Cnc","Yuyu","Cnc","Yuyu is a word from Javanese, inherited from Old Javanese ""hayuyu"", spoken on the island of Java, Indonesia. It means ""freshwater crab"". The animal can be found in rice fields in Indonesia and the constellation is attested for at least 1300 years.","Javanese","see ASE","2026/02/22"
"Lumbung","4,837","HR 4823","61966","39 Cru","Lumbung","Cru","The term ""Lumbung"" is inherited from Malay, Proto-Malayo-Polynesian, designating a quickly set up rice barn or granary. The constellation of Lumbung is attested for ~1300 years in the cultural calendar and associated with Wednesday and the third day of an Oceanic market cycle.","Malay","see ASE","2026/02/22"
"Tonglingxing","2,616","HR 2527","33694","","Tonglingxing","Cam","Tóng Líng (Phoenix Tree Mound, 桐陵) is a traditional Chinese star name at the right wall of the Purple Palace constellation, rarely used, but ~2000 years old. WGSN uses ""Tonglingxing"" to avoid confusion with an asteroid name.","Chinese","see ASE","2026/02/22"
"Shangwei","2,265","HR 2209","29997","","Shangwei","Cam","Shàng Wèi (The Great Imperial Guard, 上衛) is the name of the fifth star on the right wall and the sixth star on the left wall of the Zǐ Gōng (Purple Palace, 紫宮) / Zǐwēi Yuán (Purple Forbidden Enclosure, 紫微垣), counting northward from the southern gate. Its corresponding star has changed many times throughout history.","Chinese","see ASE","2025/12/25"
"Shangcheng","997","HR 932","14862","","Shangcheng","Cas","Shàng Chéng (The Great Imperial Minister, 上丞) and Shào Chéng (The Second Imperial Minister, 少丞) are the two stars located to the left and right of the northern gate of the Zǐ Gōng (Purple Palace) / Zǐwēi Yuán (Purple Enclosure).","Chinese","see ASE","2025/12/25"
"Shaowei","1,234","","17959","gam Cam","Shaowei","Cam","Shào Wèi (The Second Imperial Guard, 少衛) is the sixth star on the right wall of the Zǐ Gōng (Purple Palace, 紫宮) or Zǐwēi Yuán (Purple Forbidden Enclosure), counting northward from the southern gate. Although its identification has varied across historical sources, all recorded versions consistently place it within the modern constellation Camelopardalis.","Chinese","see ASE","2025/12/25"
"Kamelos","2,457","HR 2363","31940","","Kamelos","Cam","""Kamelos"" is Greek for camel, a pun with the name of the constellation ""Camelopardalis"" whose Latin term is a Greek loanword, literally meaning ""checkered camel"" = giraffe. On this base, Jacob Bartsch proposed 1624 ""Camelus Rebeccae"" as an alternative name for the constellation Camelopardalis, a reference to the story of Abraham's daughter-in-law, Rebecca.","Greek","see ASE","2025/12/25"
"Custos","1,226","HR 1155","17884","BE Cam","Custos","Cam","Custos Messium, the Harvest Keeper, was a constellation invented in Early Modern Time by the French astronomer Joseph Jérôme de Lalande (1732–1807) who might have punned with the name of his compatriot Charles Messier. Some European astronomers copied and translated it, though. The constellation became obsolete in the depolitisation of the IAU-sky and WGSN only resembles the Keeper, Custos.","Latin","see ASE","2025/12/25"
"Huagai","765","HR 707","11569","iot Cas","Huagai","Cas","Huá Gài (Canopy of the Emperor, 華蓋) is a Chinese asterism consisting of sixteen stars, divided into two parts: seven stars forming the Huá Gài (“Canopy”) proper and nine forming the Gàng (“Shaft”). The asterism originated within the Gan school during the Han dynasty, around the first century BCE.","Chinese","see ASE","2025/12/25"
