"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Azha","907","HR 874","13701","η Eri","Azha","Eri","Applied in recent times from an abbreviation of the pre-Islamic Arabian asterism name udhi al-na'am, ""the Ostrich's Nest,"" for ζ, ρ2,3, η  and τ1 Eri, and ε and π Cet.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Baten Kaitos","573","HR 539","8645","ζ Cet","Baten Kaitos","Cet","Applied in recent times from its name for the Arabic Almagest period batn qaitus, ""the Sea Monster's Belly.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Beid","1,329","HR 1298","19587","ο1 Eri","Beid","Eri","Applied in recent times from the pre-Islamic Arabian name al-baid, ""the Eggs"" for unspecified dim stars around the pre-Islamic Arabian ostrich's nest.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Botein","995","HR 951","14838","δ Ari","Botein","Ari","Applied in recent times from the pre-Islamic Arabian lunar mansion name al-butain, ""the Little Belly"", for δ, ϵ and ρ Ari.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Grumium","6,713","HR 6688","87585","ξ Dra","Grumium","Dra","A Late Latin word (its correct spelling should be grunnum) meaning ""snout"" or ""muzzle (especially of a pig)"", used in the Medieval Latin Almagest in describing this star. The word was applied as a star name in recent times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Keid","1,352","HR 1325","19849","ο2 Eri","Keid","Eri","Applied in recent times from the pre-Islamic Arabian name al-qaid, ""the Egg Shells,"" for unspecified stars around the pre-Islamic Arabian ostrich's nest.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Kurhah","8,385","HR 8417","108917","ξ Cep","Kurhah","Cep","Applied in recent times from one vocalization of its pre-Islamic Arabian name: al-qurha, ""the White Spot on the Forehead of a Horse."" However, the original Arabic script for the name can be read and vocalized in other ways with various meanings.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Maasym","6,558","HR 6526","85693","λ Her","Maasym","Her","From the Arabic word al-mi'sam, ""the wrist,"" used in the Arabic Almagest in describing o Her. Wrongly transferred to λ Her in Early Modern times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Marfik","6,160","HR 6149","80883","λ Oph","Marfik","Oph","Applied since medieval times from the Arabic word al-marfiq, ""the elbow,"" used in the Arabic Almagest in describing this star. While the medieval transliteration was marsic (with a confusion of f and the long-shaped s), Marfik is an improved spelling of recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Mekbuda","2,648","HR 2650","34088","ζ Gem","Mekbuda","Gem","From an abbreviation of the pre-Islamic Arabian asterism name dhira' al-asad al-maqbuqa, ""the Lion's Folded Paw"". Arbitrarily applied as a star name to ζ Gem in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Menkib","1,274","HR 1228","18614","ξ Per","Menkib","Per","Applied in recent times from an abbreviation of its pre-Islamic Arabian name mankib al-thurayya, ""the Shoulder of the Pleiades,"" for its location in the pre-Islamic Arabian asterism here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Merga","5,518","HR 5533","72487","38 Boo","Merga","Boo","A Latin word meaning ""reaping hook,"" used in a Early Modern discussion of the constellation Bootes. According to this discussion, some classical sources mentioned a reaping hook held in Bootes' hand opposite the staff. Subsequently the word was applied as a star name to hBoo.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Muphrid","5,230","HR 5235","67927","η Boo","Muphrid","Boo","The formation of this name begins with the ancient Arabic name for α Boo: al-simak al-ramih, ""the Lance-bearing simak"" (the meaning of simak is uncertain). It seems that later Arabic poets expanded upon this name by making mention of some separate ""lance"" (al-rumh) that accompanied the star α Boo. Subsequent Arabs attempted to identify this fictitious lance with actual stars, sometimes saying it was η Boo with nearby stars, sometimes saying it was ""η Boo alone"" (where ""alone"", in arabic, is written mufradan). From these discussions came, with a slight copying mistake in the Arabic, the erroneous Arabic name mufrad al-ramih, roughly translating as ""the Isolated Single One of the Lance-Bearer"". With a wrong vocalization and with abbreviation, this erroneous name, as ""Muphrid"", was applied in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Nusakan","5,751","HR 5747","75695","β CrB","Nusakan","CrB","Applied in recent times from the collective pre-Islamic Arabian name al-nasaqan, ""the Two Lines [of stars]"" for two asterisms in today's Hercules, Serpens, Ophiuchus, and Lyra. al-nasaqan originally marked the boundaries of the pre-Islamic Arabian 'al-rauda, ""the Pasture"". These boundaries were ""the Northern Line"" al-nasaq al-sha'ami, and ""the Southern Line"" al-nasaq al-yamani.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Rasalas","3,885","HR 3905","48455","μ Leo","Rasalas","Leo","Applied in recent times from an abbreviation of its name for the Arabic Almagest period ra's alasad (al-shamali), ""(the Northern [Part] of) the Lion's Head."" As originally applied, μ Leo was ""Rasalasad Borealis""  abbreviated in the first Western astronomical source as ""Rasalas. Bor.,"" for lack of space in the line), and ε Leo was ""Rasalasad Australis"" (after the Arabic).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Rotanev","7,869","HR 7882","101769","β Del","Rotanev","Del","Nicolaus Venator, responsible for 1814 star catalogue)","Latin","Palermo Star Catalogue (1814), p.147","2016/09/12"
"Sarin","6,437","HR 6410","84379","δ Her","Sarin","Her","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965). It is probably a part of the body. The word probably is not of Semit's origin,","unknown","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","2016/09/12"
"Sham","7,477","HR 7479","96757","α Sge","Sham","Sge","Applied in recent times from the Arabic constellation name al-sahm, ""the Arrow,"" for Sagitta.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Situla","8,593","HR 8610","111710","κ Aqr","Situla","Aqr","A Latin word meaning ""pot"" or ""bucket"", used in Early Modern philological studies as the translation of the Arabic constellation name al-dalw, for Aquarius. Subsequently the word was applied as a star name to k Aqr. The Arabs located al-dalw (""the Well Bucket"") in today's Square of Pegasus. In that location it corresponded to what in other cultures was Aquarius among the zodiacal signs. The Arabs subsequently used the indigenous name al-dalw for the Greek Water Pourer (Aquarius).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Sualocin","7,889","HR 7906","101958","α Del","Sualocin","Del","reversed Latin  Nicolaus Venator, responsible for 1814 star catalogue)","Latin","Palermo Star Catalogue (1814), p.147","2016/09/12"
"Subra","3,823","HR 3852","47508","ο Leo","Subra","Leo","From the pre-Islamic Arabian lunar mansion name al-zubra, ""the Mane, or Shoulder,"" for δ and θ Leo, associated with the pre-Islamic Arabian asterism al-asad (see ε Gem; al-zubra was an alternative name for al-kharatan given under θ Leo). ""Subra"" was wrongly applied as a star name too Leo in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Syrma","5,332","HR 5338","69701","ι Vir","Syrma","Vir","From the Greek word σύρμα, ""train of a dress"", used by Ptolemy in the Almagest in describing this star. The word was applied as a star name in recent times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Tegmine","3,110","HR 3208","40167","ζ Cnc","Tegmine","Cnc","A Latin word in the ablative case meaning ""covering"" or ""shell"" (nominative case would be ""tegmen""), used in a Early Modern discussion of the constellation Cancer. The word was subsequently applied as a star name to ζ Cnc.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Tureis","3,159","HR 3185","39757","ρ Pup","Tureis","Pup","From the Arabic word al-turais, ""the Little Shield,"" used in the Arabic Almagest in describing several stars (ρ Pup not among them) in the constellation Argo. Wrongly applied as a star name to ρ Pup in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Zaniah","4,693","HR 4689","60129","η Vir","Zaniah","Vir","From an abbreviation of the pre-Islamic Arabian name zawiyat al-'awwa', ""the Angle of al-'awwa',"" for γ Vir. Wrongly transferred to η Vir in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Zibal","1,017","HR 984","15197","ζ Eri","Zibal","Eri","Applied in recent times from a misreading of the pre-Islamic Arabian name al-ri'al, ""the Young of the Ostriches,"" for the numerous dim stars running between α Eri and α PsA (or, according to another tradition, those within the triangle formed by α Phe/α PsA/β Cet).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/09/12"
"Acrab","5,996","* bet Sco","78820","β1 Sco","Acrab","Sco","Arabic name al-'Aqrab for the constellation Scorpius (""the scorpion"") (e.g. Al Sufi). Application of the transliteration ""Acrab"" specifically to the pair Beta1 and Beta2 Sco was made by Piazzi (1814) in the Palermo Catalog, and its use spread through the 19th century.","Arabic","Kunitzsch, P. (1959) Arabische Sternnamen in Europa. Wiesbaden: Harrassowitz. No. 3; 88; 108","2016/08/21"
"Adhara","2,605","HR 2618","33579","ε CMa","Adhara","CMa","Applied in recent times from the Arabic asterism name al-'adhara, ""the Virgins"", for ε, δ, η and ο2 CMa. The significance of the name is unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Adhil","420","HR 390","6411","ξ And","Adhil","And","From the Arabic word al-dhail, ""the hem of a robe or dress"", used in the Arabic Almagest in describing 49 And and χ And, and transliterated in the Medieval Latin Almagest as adhil. This word was wrongly applied as a star name to ξ And in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alfirk","8,192","HR 8238","106032","β Cep","Alfirk","Cep","Applied in recent times from an abbreviation of the pre-Islamic Arabian names kaukaba al-firq (for α and β Cep ), and kawakib al-firq (for α, β , and η Cep). kaukaba and kawakib mean ""two stars"" and ""stars"" (more than two), respectively, but the original Arabic script for al-firq can be vocalized in various ways with various meanings. If the vocalization al-firq is accepted, it means ""the Flock,"" and may refer to a flock of sheep here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Algedi","7,744","HR 7754","100064","α2 Cap","Algedi","Cap","Reapplied in recent times (from its older medieval spelling), from the scientific Arabic constellation name al-jady, ""the Kid,"" for Capricornus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alkalurops","5,589","HR 5733","75411","μ Boo","Alkalurops","Boo","The formation of this name begins with one of the words used by Ptolemy to describe this star in the Almagest: κολλόροβον, ""club"", rarely used as ""sphepherd's staff"". This word was transliterated into Arabic as qulurubus, and hence into Latin as calurus. Then in Early Modern times, the derivation of calurus was mistakenly attributed to another Greek word: καλαῦροψ, ""shepherd's staff"". This erroneous word, in its turn, was transliterated into Latin, then Arabicized with the article al-, then its spelling corrupted, to become ""Alkalurops"", which was thereafter applied as a star name to μ Boo.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alnasl","6,801","HR 6746","88635","γ2 Sgr","Alnasl","Sgr","Applied in recent times from its late Arabic name al-nasl, ""the Point,"" in turn an abbreviation of the Arabic Almagest's nasl al-sahm, ""the Point of the Arrow.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alrescha","629","* alf Psc","9487","α Psc","Alrescha","Psc","From the pre-Islamic Arabian lunar mansion name al-risha', ""the Cord,"" for β And. Wrongly transferred to α Psc in recent times. According to a Arabic source, the pre-Islamic Arabian al-risha' included, in a larger sense, two curving lines of mostly dim stars in Andromeda and Pisces, meant to attach to the pre-Islamic Arabian al-dalw ""the Well Bucket"" (marked by today's Square of Pegasus). It is also possible that this ""cord"" was a remnant of the cord joining the two fish of the older Babylonian zodiac. Indeed, these stars of the cord were alternatively known by the pre-Islamic Arabians as al-hut, ""the Fish"" (a single fish), corresponding to what in other cultures was Pisces among the zodiacal signs (and according to this tradition, the Fish's brightest star, β And, was batn al-hut, ""the Fish's Belly"").","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alshain","7,592","HR 7602","98036","β Aql","Alshain","Aql","Applied in recent times (with a misreading in the second word) from abbreviating the Persian asterism name shahin-i tarazu, ""the Scale Beam,"" for α, β and γ Aql. The Persian name, in turn, was a medieval translation of these stars' pre-Islamic Arabian name al-mizan, ""the Balance"" (said to be a popular name for the pre-Islamic Arabians al-nasr al-ti'ir listed under α Aql).","Persian","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Altais","7,294","HR 7310","94376","δ Dra","Altais","Dra","Applied in recent times from a misreading of the script for the Arabic constellation name al-tinnin, ""the Serpent,"" as it appeared incorrectly in a late Arabic star catalog, as part of the name for δ Dra. (The incorrect word, al-tais, is a real word in Arabic meaning ""the He-goat,"" however it was never used by the pre-Islamic Arabians in stellar nomenclature. Furthermore, in the same Arabic source, in the name of ε Dra [formed parallel to that of δ Dra], the word was correctly written al-tinnin.)","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Alya","7,166","* tet Ser","92946","θ1 Ser","Alya","Ser","From the Arabic word alya, naming the fatty tail of a breed of Eastern sheep. In Early Modern times this word was erroneously proposed as the origin of Alioth, a Medieval Latin name for ε UMa. The erroneous ""Alya"" was applied as a star name to θ Ser in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Asterope","1,192","HR 1151","17579","21 Tau","Asterope","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Atlas","1,221","HR 1178","17847","27 Tau","Atlas","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Biham","8,431","HR 8450","109427","θ Peg","Biham","Peg","Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd al-biham, for θ and ν Peg. A possible meaning for the name is ""the Lucky (Stars) of the Young Beasts [lambs, kids, and the like],"" but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Cebalrai","6,649","HR 6603","86742","β Oph","Cebalrai","Oph","Applied in recent times from its pre-Islamic Arabian name kalb al-ra'i, ""the Shepherd's Dog"" (in other traditions α Her and 28/29 Cep are given the same name). This dog, together with the shepherd (marked by α Oph), and the two lines of stars enclosing the Pasture, and all the dim stellar sheep in that portion of the sky (al-ghanam or al-aghnam for the sheep), seem to form a complete group of pre-Islamic Arabian figures.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Celaeno","1,180","HR 1140","17489","16 Tau","Celaeno","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Dabih","7,771","HR 7776","100345","β1 Cap","Dabih","Cap","Applied in recent times from the pre-Islamic Arabian lunar mansion name sa'd aldhabih, for α and β Cap. Possible meanings for the name are ""the Lucky (Stars) of the Slaughterer,"" or, ""Sa'd, the Slaughtering One"" (this last using Sa'd as an unspecified proper name). However the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Diphda","221","HR 188","3419","β Cet","Diphda","Cet","Applied in recent times from an abbreviation of its pre-Islamic Arabian name al-difdi' al-thani, ""the Second Frog"" (a PsA was the pre-Islamic Arabians' ""First Frog,"" al-difdi' al-awwal).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Dschubba","5,964","HR 5953","78401","δ Sco","Dschubba","Sco","Applied in recent times from an abbreviation of the name for the Arabic Almagest period jabhat al-'aqrab, ""the Scorpion's Forehead,"" for β, δ, and π Sco.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Electra","1,182","HR 1142","17499","17 Tau","Electra","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Eltanin","6,733","HR 6705","87833","γ Dra","Eltanin","Dra","Applied in Early Modern times from the Arabic constellation name al-tinnīn, “the serpent”, for Draco.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Hadar","5,274","HR 5267","68702","β Cen","Hadar","Cen","From some pre-Islamic Arabian name hadari (an untranslated proper name), for one of a pair of stars, the other one being al-wazn. Sci-A authors ventured to identify these stars as α/β Cen or α/β Col, but exactly what two stars were originally intended, and the significance of their names, is unknown. ""Hadar"" was arbitrarily applied to β Cen in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Homam","8,613","HR 8634","112029","ζ Peg","Homam","Peg","Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd al-humam, for ζ and ξ Peg. A possible meaning for the name is ""the Lucky (Stars) of the Hero,"" but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Izar","5,488","HR 5506","72105","ε Boo","Izar","Boo","Applied in recent times from the Arabic word izwar, ""girdle"" or ""loin cloth"", being a later version of the original term al-mi)zar used in the Arabic Almagest in describing this star.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Kitalpha","8,114","HR 8131","104987","α Equ","Kitalpha","Equ","Applied in recent times from the Arabic constellation name qit'at al-faras, ""the Section of the Horse,"" for Equuleus. Ptolemy had Ἵππου Προτομή, ""the First Half of the Horse,"" for the constellation, because it shows only half the figure (as with the constellations Taurus, Pegasus, and the Greek ship Argo).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Kornephoros","6,156","HR 6148","80816","β Her","Kornephoros","Her","From the Greek word κορυνηφόρος, ""club-bearer"", mentioned in one Early Modern study as a name for the constellation Hercules. Properly it is of mythological rather than astronomical significance, for Ptolemy's constellation here was ""the Kneeler"", described without a club. ""Kornephoros"" was applied as a star name in recent times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Lesath","6,559","HR 6508","85696","υ Sco","Lesath","Sco","The formation of this name begins with the Greek term ""(foggy) conglomeration,"" used by Ptolemy in the Tetrabiblos in describing several nebulous sky objects (in the present case, probably the open cluster M7). Ptolemy's term was translated by the Arabs as al-latkha, ""the Spot."" This word in turn became transliterated and corrupted in Medieval Latin to alascha, which was used in astrological texts in connection with Scorpius' tail. In Early Modern times, the derivation of alascha was erroneously attributed to the Arabic word las'a, ""sting, or bite (of a poisonous animal),"" rather than to al-latkha. Subsequently the erroneous word, written as ""Lesath,"" was applied as a star name to u Sco (and in recent times, also to λ Sco).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Matar","8,625","HR 8650","112158","η Peg","Matar","Peg","Applied in recent times from an abbreviation of the pre-Islamic Arabian name sa'd matar for η and o Peg. Its meaning is unknown. matar has been translated as ""rain,"" and as a common noun in Arabic, al-matar does mean ""the rain."" However, lack of the definitive article al- for the star points to a use of the word in a sense different from the common noun.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Menkent","5,287","HR 5288","68933","θ Cen","Menkent","Cen","Applied in recent times and possibly coined from the Arabic word mankib, ""shoulder"" (in some recent transliterations: menkib; Ptolemy described this star on the right ""shoulder"" of the Centaur), plus the Latinized ""Kentaurus"" for the Arabic constellation name qanturis. Hence this name could be of similar construction to the abbreviation for α Cen: ""Rigil Kent.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Mesarthim","584","* gam Ari","","γ2 Ari","Mesarthim","Ari","The formation of this name begins with the Arabic lunar mansion name al-sharatan, for β and γ Ari. From the numerous medieval lists of the Arabic lunar mansions (all in Latin transliteration), the Early Modern scholar Johannes Bayer grasped the form Sartai, and used it for the three brighter stars α, β and γ Ari. Bayer also erroneously explained Sartai as from the Hebrew word mesharethim, ""servants"", rather than from al-sharatan. Subsequently, Bayer's erroneous word, written as ""Mesarthim"", was applied as a star name.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
"Mothallah","580","HR 544","8796","α Tri","Mothallah","Tri","Applied in recent times from the Arabic constellation name al-muthallath, ""the Triangle,"" for Triangulum.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/08/21"
